user,camera,lens,panohead,tripod,software
RussAddie,Canon-40D,CoastalOptical-4.88mm,?,yes,IPIX
ChasAdlard,Nikon-D80,?,?,?,?
RobertAgnel,Nikon-D80,Nikkor-10.5mm,?,?,QTVRAS
RodrigoAlarconCielock,Nikon-?,?,none,handheld,?
DaveAlbright,Canon-50D,Sigma-8mm3.5,RingTS8,Monopod,Ptgui-?
PatAlbright,Canon-50D,Sigma-8mm3.5,RingTS8,Monopod,Ptgui-?
MilkoAmorth,?,Sigma-8mmf4,none,Monopod,?
BryantArnett,Minolta-DimageZ1,Minolta-WE,custom,yes,Ptgui-7.2
NurcanAzaz,Canon-A640,Nikon-FCE9,LensRing-BoPhoto,?,Ptgui-?
GDonaldBain,Olympus-E3,Zuiko-8mm,ReallyRightStuff,Velbon-?,PtguiPro-8.02
ViktorBalogh,Canon-300D,Tokina-12to24mm,Manfrotto-303sph,Manfrotto-?,?
BanfalvyZoltan,Canon-50D,Peleng-8mm,custom,yes,Ptgui-?
PeterBarnes,Nikon-D40x,Nikkor-10.5mm,NodalNinja-3,Manfrotto-3000,Ptgui-?
LandisBennett,Nikon-D200,Nikkor-10.5mm,Kaidan-QuickPanIII,?,Ptgui-?
BriarBentley,Canon-5D,?,?,?,RealvizStitcher-5.0
IngemarBergmark,Nikon-D700,Nikkor-10.5mm,none,handheld,PtguiPro-?
RobertBilsland,Nikon-D300,Nikkor-10.5mm,NodalNinja-5,Manfrotto-055,PtguiPro-?
AndreiBodrov,Canon-5D,Sigma-8mm,Manfrotto-304sph,Manfrotto-?,PanoTools
PeterBoel,Canon-5D,Canon-15mm,360precision,yes,Ptgui-?
NormaBoylan,Canon-400D,Zenitar-16mm,none,handheld,Hugin
ChristianBraut,Nikon-D300,Nikkor-10.5mm,360precision,yes,Ptgui-?
WilBrugman,Pentax-istDL,Raynox-DCR185,none,Monopod,?
RommelBundalian
BetkaBurger,Nikon-D90,Sigma-8mm,?,?,?
BostjanBurger,?,?,?,?,?
NicolasCalluaud,Canon-5D,Sigma-8mm,Manfrotto-?,yes,?
ChenMaioLien,Nikon-D300,Nikkor-10.5mm,?,yes,?
Chenzhen,Nikon-D300,Nikkor-10.5mm,?,yes,?
UriCogan,Nikon-D300,Nikkor-10.5mm,NodalNinja-?,yes,PtguiPro-?
JimCole,Nikon-D300,Nikkor-10.5mm,NodalNinja-5,?,?
WilliamMDelabarre,Nikon-D50,Nikkor-10.5mm,?,?,?
AriedeRuiter,Nikon-D200,Nikkor-10.5mm,NodalNinja-?,?,PtguiPro-?
VivekDevBurman,Nikon-D300,??-8mm,NodalNinja-3,Gitzo-?,Ptgui-?
JohnDobbins,Nikon-D90,Nikkor-10.5mm,NodalNinja-?,yes,PtguiPro-?
RichardCDrew,Canon-40D,Sigma-?,Agnos-MRotator?,Manfrotto-?,RealvizStitcher-?
JuergenEidt,Nikon-D50,Sigma-8mm,none,handheld,?
CarlvonEinem,Nikon-?,Heliar-12mm,Novoflex,Manfrotto-?,Hugin
caryewing
ColinEwington,Canon-10D,?,?,?,PtguiPro-?
SoteroFerreira,Canon-400D,Sigma-8mm,?,?,?
