user,camera,lens,panohead,tripod,software
RobertAgnel,Nikon-CP950,Nikon-WCE24,Kaidan-Kiwi,yes,QTVRAS
DaveAlbright,Nikon-CP990,Nikon-FCE8,Kaidan-Kiwi,?,Panoweaver
LoydAlmeida,Canon-10D,??-8mm,custom,yes,?
MarkusAltendorff,Minolta-Dimage7,?,Manfrotto-303sph,Manfrotto-?,RealvizStitcher-4
MilkoAmorth,Canon-?,Sigma-8mm,none,Monopod,PTmac-?
PatrizioSilviAntonini,Nikon-D100,Nikkor-17to35mm,Kaidan-QuickPanIII,Manfrotto-?,Ptgui-?
PatricioArmijo,Nikon-?,?,none,handheld,PanoTools
CBArunKumar,Canon-20D,Sigma-8mm,?,?,?
HansChristianAsmussen,Nikon-D100,Nikkor-10.5mm,Manfrotto-?,Manfrotto-?,?
OlivierAuverlau,Nikon-D70,?,?,?,?
GDonaldBain,Olympus-E1,?,Kaidan-QuickPanIII,?,PTmac-?
ArtBaltrotsky,Canon-300D,?,Kaidan-?,?,PanoTools
MaryannikBarray,Nikon-D100,Nikkor-10.5mm,360precision,yes,?
DonBarth,Nikon-CP990,?,Kaidan-?,yes,Panoweaver
LuisBenitez,Nikon-CP4500,Nikon-WCE63,Agnos-QuicklyQTCubic,Manfrotto-3021,RealvizStitcher-5.0
LandisBennett,Nikon-D100,Nikkor-10.5mm,Kaidan-QuickPanIII,?,RealvizStitcher-?
FlorianBertzbach,Nikon-D100,Sigma-8mm,Panosaurus,Manfrotto-?,Ptgui-?
RobertBilsland,Nikon-CP990,Nikon-FCE8,custom,?,PanoTools
JohnBlake,Nikon-D100,Nikkor-10.5mm,Manfrotto-303sph,yes,PTmac-?
IreneBlueth,Nikon-CP995,?,?,?,?
AndreiBodrov,Canon-300D,Sigma-8mm,Manfrotto-303sph,?,PanoTools
BradfordBohonus,?,?,?,?,?
BirgerBorgwardt,Nikon-?,Sigma-8mm,?,?,PTmac-?
PeterBraatz,Nikon-D70,?,?,?,RealvizStitcher-?
ChristianBraut,Nikon-CP8700,Nikon-WCE63,Manfrotto-303sph,yes,RealvizStitcher-?
RayBroussard,Canon-D10,Sigma-14mm,Peaceriver-3Sixty,?,?
WillBrown,Canon-1DS,Sigma-12to24mm,?,Manfrotto-?,?
BetkaBurger,Nikon-CP5000,Nikon-FCE8,Manfrotto-QTVR,yes,?
BostjanBurger,Nikon-D2H,Nikkor-10.5mm,Manfrotto-QTVR,yes,?
FioreCappone,Nikon-CP5000,?,Kaidan-QuickPanIII,?,QTVRAS
JonasCarlson,Fuji-S2,Nikkor-10.5mm,Kaidan-Kiwi,Manfrotto-?,Ptgui-?
LarryCassis,Nikon-CP990,?,Kaidan-Kiwi,?,VRWorx
ChienChunChung,Nikon-D70,Sigma-15mm,?,?,RealvizStitcher-?
UriCogan,Nikon-D70,?,?,?,PTmac-?
PierreConverset,Nikon-D70,Sigma-8mm,custom,Monopod,Ptgui-?
JohnCornegge,Nikon-D1x,Nikkor-10.5mm,Manfrotto-302,Manfrotto-?,PTmac-?
NickCrossland,Canon-300D,?,custom,yes,RealvizStitcher-4
WayneDegner,Nikon-D70,Nikkor-10.5mm,?,Manfrotto-?,?
GiancarloDeLeo,Nikon-D70,Nikkor-10.5mm,Manfrotto-302,Manfrotto-?,?
