user,camera,lens,panohead,tripod,software
RussAddie,Canon-40D,CoastalOptical-4.88mm,?,?,IPIX
RobertAgnel,Nikon-D90,Nikkor-10.5mm,360precision,Manfrotto-055,RealvizStitcher-5.0
RodrigoAlarconCielock,Canon-50D,Tokina-10to17mm,NodalNinja-5,Monopod,?
DaveAlbright,Canon-5D,Sigma-8mm,?,yes,Ptgui-?
PatAlbright,Canon-5D,Sigma-8mm,?,yes,Ptgui-?
PatricioArmijo,Canon-350D,Sigma-8mm,NodalNinja-?,Monopod,?
AYRTON,Nikon-D700,Tokina-10to17mm,?,?,Ptgui-?
NurcanAzaz,Canon-A640,Nikon-FCE9,none,handheld,Ptgui-?
MichaelBajko,Nikon-D90,Nikkor-10.5mm,?,Slik-?,Ptgui-?
ViktorBalogh,Canon-300D,Tokina-12to24mm,?,Manfrotto-?,?
PeterBarnes,Nikon-D500,Nikkor-10.5mm,?,?,Ptgui-?
BorutBencak,Nikon-D60,Nikkor-10.5mm,?,?,?
LuisBenitez,Nikon-D70,Nikkor-10.5mm,NodalNinja-5,Monopod,RealvizStitcher-?
KatBennett,Nikon-D300,Nikkor-10.5mm,360precision,?,Ptgui-?
LandisBennett,Nikon-D300,Nikkor-10.5mm,360precision,?,Ptgui-?
BriarBentley,Canon-5D,?,?,Manfrotto-?,Ptgui-?
RobertBilsland,Nikon-D300,Nikkor-10.5mm,NodalNinja-5,Manfrotto-055,PtguiPro-?
AndreiBodrov,Canon-5D,Canon-17to40mmL,NodalNinja-5,?,Ptgui-?
AlbertoCabraldeMelloBorges,Nikon-D300,Sigma-8mm,NodalNinja-?,Manfrotto-?,?
NormaBoylan,Canon-400D,Zenitar-16mm,Panosaurus,yes,Hugin
ChristianBraut,Nikon-D300,Nikkor-10.5mm,NodalNinja-3,yes,Ptgui-?
BostjanBurger,Nikon-D3,Nikkor-10.5mm,?,?,?
BruceECantrall,Olympus-FE310,?,?,none,?
NedChiariello,Nikon-D80,Sigma-8mm,NodalNinja-?,Monopod,PtguiPro-?
CibulaVincent,Canon-50D,Peleng-8mm,?,Manfrotto-055,?
