user,camera,lens,panohead,tripod,software
RobertAgnel,Nikon-CP950,?,Kaidan-Kiwi,Velbon-?,Photoshop
RodrigoAlarconCielock,Nikon-CP4500,Nikon-FCE8,custom,Vanguard-?,Ptgui-?
DaveAlbright,Canon-20D,Sigma-8mm,Kaidan-Kiwi,?,Ptgui-?
PatAlbright,Canon-350D,Sigma-8mm,Kaidan-Kiwi,?,Ptgui-?
MarkusAltendorff,Canon-20D,?,Manfrotto-303sph,?,RealvizStitcher-4
MilkoAmorth,Canon-350D,Sigma-8mm,none,Monopod-Philopod,Photoshop
SvenAnders,Nikon-D70,Sigma-8mm,?,?,?
EricHAnderson,Olympus-C3020,?,custom,Monopod,?
PatricioArmijo,Nikon-CP5000,Nikon-FCE9,custom,yes,PanoTools
LarsArned,Nikon-D70,Nikkor-10.5mm,?,?,?
BryantArnett,Minolta-DimageZ1,Minolta-WE,custom,Vivitar-2200,Ptgui-?
CBArunKumar,Canon-20D,Canon-10to22mm,Kaidan-QuickPan?,?,?
GDonaldBain,Olympus-E1,Olympus-14to54mm,Kaidan-QuickPanIII,Velbon-?,RealvizStitcher-?
ArtBaltrotsky,Pentax-?,?,none,handheld,RealvizStitcher-?
LuisBenitez,Nikon-D70,Nikkor-18to70mm,Agnos-QuicklyQTCubic,Manfrotto-3021b,RealvizStitcher-5.0
LandisBennett,Nikon-D100,Nikkor-10.5mm,Kaidan-QuickPanIII,?,RealvizStitcher-?
FlorianBertzbach,Nikon-D100,Sigma-8mm,custom,Monopod,Ptgui-4.1
RobertBilsland,Nikon-CP990,Nikon-FCE8,custom,?,Ptgui-?
JohnBlake,Nikon-D70,Nikkor-10.5mm,Kaidan-Kiwi,Manfrotto-?,?
AndreiBodrov,Canon-300D,Sigma-8mm,Manfrotto-303sph,?,PanoTools
HughBothwell,Canon-300D,Sigma-12to24mm,none,handheld,Ptgui-?
NormaBoylan,Kodak-DX3900,builtin,none,yes,RealvizStitcher-3.1
PeterBraatz,Nikon-D70,Sigma-8mm,?,?,PTmac-?
ChristianBraut,Nikon-D70,Nikkor-18to70mm,Manfrotto-303sph,yes,RealvizStitcher-?
RayBroussard,Nikon-D100,Sigma-12to24mm,none,handheld,QTVRAS
WilBrugman,Canon-G5,Nikon-FCE9,?,?,?
ThomasJBunce,Canon-PowerShotS230,builtin,custom,yes,PTmac-3
BostjanBurger,Nikon-CP990,?,?,?,?
CraigABusch,Nikon-D70,Nikkor-40mm??,?,?,PanoramaFactory
DuriCampell,Seitz-Roundshot,?,?,Manfrotto-?,?
FioreCappone,Nikon-D70,Sigma-8mm,custom,Monopod,PTmac-?
LarryCassis,Nikon-CP990,?,Kaidan-Kiwi,?,VRWorx
JedClark,Nikon-D70,Nikkor-10.5mm,360precision,yes,?
UriCogan,Nikon-D70,Nikkor-10.5mm,Panosaurus,yes,PTmac-?
SteveCole,Nikon-CP5000,?,Kaidan-Kiwi,yes,?
LarryColtharp,Nikon-D70,Sigma-8mm,KingPano,Manfrotto-?,PTmac-?
PierreConverset,Nikon-D70,Sigma-8mm,custom,Monopod,Ptgui-?
AmbarBriastutiCorbridge,Nikon-D70,Nikkor-18to70mm,Manfrotto-303sph,yes,PTmac-?
NickCrossland,Canon-300D,?,?,Manfrotto-?,?
RichardCrowest,Nikon-CP990,Nikon-FCE8,Kaidan-Kiwi,yes,?
GiancarloDeLeo,Nikon-D70,Nikkor-10.5mm,?,?,?
StephenDenagy,Canon-10D,Sigma-15mm,?,yes,RealvizStitcher-?
DavidDiederich,Nikon-CP4300,Nikon-WCE63,custom,yes,?
ScottDoenges,Sony-CybershotF717,Raynox-FE180,Kaidan-QuickPanSpherical,Hakuba-504MX,RealvizStitcher-4
JohnDotta,Canon-G1,?,Kaidan-Kiwi,yes,QTVRAS
RichardCDrew,Nikon-CP8700,Nikon-FCE9,Agnos-MRotatorB,Manfrotto-?,Ptgui-?
MichelDuChesne,Fuji-S2,Sigma-8mm,custom,yes,Ptgui-?
FrantisekDurec,Nikon-CP4300,Nikon-FCE8,?,?,?
JamesEdge,Canon-10D,?,none,handheld,?
DavidEgbert,Sony-CybershotDSCP100,?,Kaidan-Kiwi,yes,RealvizStitcher-?
CarlvonEinem,Voigtlaender-BessaL,Heliar-12mm,Novoflex,yes,PTmac-?
JerryEnglar,Canon-20D,Canon-18to55mm,?,?,Photoshop
JohnFellers,Nikon-D100,Sigma-8mm,?,yes,Ptgui-?
IgnacioFerrando,Nikon-D2x,Nikkor-10.5mm,?,Manfrotto-?,?
DaneFetterman,Nikon-CP995,Nikon-FCE8,custom,yes,Ptgui-?
EdwardFink,Nikon-D70,Sigma-8mm,Helicopter,?,Ptgui-?
MarkFink,Canon-10D,Sigma-14mm,custom,yes,?
RaphaelFiorina,Canon-1DS,?,?,yes,RealvizStitcher-4
RobertFisher,Fuji-S2Pro,Nikkor-10.5mm,?,?,PTmac-?
AreFlagan,Nikon-D70,Sigma-8mm,Manfrotto-303sph,?,PTmac-3
KatyFlanagan,Nikon-D100,?,Kaidan-QuickPanSpherical,?,RealvizStitcher-4
FrancisFougere,Canon-20D,Canon-18to55mm,Kaidan-Kiwi,yes,RealvizStitcher-?
MartinFrech,Seitz-Roundshot,Schneider-28mm,?,?,Photoshop
AndrasFrenyo,Fuji-S2,Nikkor-8mm,?,?,?
DaniFuchs,Canon-350D,Peleng-8mm,custom,yes,Ptgui-?
YasuhiroFujimoto,Fuji-S3Pro,Nikkor-10.5mm,Manfrotto-303sph,MDeVe-aluminumvideo,PTmac-?
TomFulmer,Nikon-D70,Nikkor-10.5mm,?,?,PTmac-?
JimGalvin,Canon-10D,Sigma-8mm,Kaidan-?,?,PTmac-?
ToniGarbasso,Fuji-S2,Nikkor-10.5mm,?,?,PTmac-?
AntonioVictorGarciaSerrano,Canon-10D,Sigma-8mm,Manfrotto-?,Manfrotto-?,Ptgui-?
CarolingGeary,Canon-300D,Canon-10to22mm,?,?,QTVRAS
ElizabethGentile,Nikon-D70,Nikkor-10.5mm,Manfrotto-?,Manfrotto-?,RealvizStitcher-?
JamesGentles,Nikon-CP4300,Nikon-FCE9,Kite,?,?
DavidGerhard,Nikon-CP4500,Nikon-FCE8,custom,yes,PTmac-?
DavidGibson,Canon-300D,Canon-15mm,Kaidan-Kiwi,?,PTmac-?
ChristopherGlick,Canon-350D,Peleng-8mm,Kaidan-Kiwi,Velbon-?,VRWorx
ErikGoetze,Nikon-D70,?,?,yes,RealvizStitcher-?
DavidGoldwasser,Canon-20D,?,none,handheld,RealvizStitcher-?
RobertoGomezTorres,Nikon-D70s,Nikkor-10.5mm,Kaidan-QuickPanSpherical,?,Ptgui-?
FelipeGonzalez,?,?,?,?,?
NickGordon,Nikon-D70,Nikkor-10.5mm,none,Monopod,?
RalphGreene,Nikon-?,Sigma-8mm,Kaidan-?,yes,Ptgui-?
BrianGreenstone,Canon-PowershotPro1,Raynox-FE180,Manfrotto-303sph,yes,PTmac-?
SachaGriffin,Canon-20D,Sigma-8mm,?,?,?
ArnaudGuyomard,Canon-300D,Sigma-8mm,?,?,?
ScottHaefner,Nikon-CP5000,Nikon-FCE8,Kite,?,?
SvenHafner,Canon-1DS,Sigma-8mm,Manfrotto-?,Manfrotto-?,PTmac-?
HansHagen,Canon-20D,Sigma-8mm,?,?,PTmac-3
GabiHaindl,Nikon-CP5000,Nikon-FCE8,Manfrotto-QTVR,?,PTmac-?
StephenHamilton,Nikon-CP995,?,none,handheld,PTmac-?
AndrzejHarasz,Canon-10D,Canon-17to40mmL,Manfrotto-?,yes,?
KarlHarrison,Canon-20D,Sigma-8mm,360precision,yes,RealvizStitcher-4
JohnHartman,Kodak-DC290,?,Kaidan-Kiwi,Manfrotto-?,Photoshop
TimHatch,Nikon-CP995,Nikon-FCE8,?,?,?
KWayneHeil,Nikon-D70,Nikkor-8mm,none,handheld,PTmac-?
BruceHemming,Nikon-CP990,?,Kaidan-Kiwi,yes,?
GrantHermanson,Nikon-CP8700,?,Kaidan-QuickPanIII,?,?
DanielHo,Nikon-D100,Nikkor-10.5mm,?,?,PTmac-?
DonHofstee,Nikon-D70,Sigma-8mm,none,handheld,?
GuidoHomberger,Nikon-CP4500,Nikon-FCE8,?,yes,?
JohnHoughton,Canon-20D,Sigma-8mm,custom,Velbon-?,Ptgui-?
MarkHouston,Nikon-D70,Nikkor-10.5mm,custom,yes,RealvizStitcher-?
MartinHrdlicka,Nikon-CP5400,Nikon-FCE9,?,Manfrotto-055,Panoweaver
ChristianHueller,Canon-350D,Sigma-8mm,custom,yes,?
EdwardHuff,Nikon-D70,Sigma-8mm,?,?,?
AndreyIlyin,Nikon-D70,Nikkor-10.5mm,?,?,?
ShujiInoue,Nikon-D100,?,Manfrotto-QTVR,?,Hugin
SachioIzumi,Nikon-D100,Sigma-8mm,Kaidan-?,Manfrotto-?,Photoshop
KrzysztofJasinski,Canon-20D,Canon-10to22mm,?,?,?
LiesbethJense
WillyKaemena,Nikon-D70,Nikkor-8mm,none,Monopod,PTmac-?
KatKalamaras,Nikon-D100,Nikkor-10.5mm,Kaidan-QuickPanIII,?,RealvizStitcher-?
DeanKaramehmedovic,Nikon-D70,Nikkor-10.5mm,?,Manfrotto-?,?
TerryKelly,Canon-10D,??-8mm,custom,yes,?
MasanaoKimura,Nikon-D70,Sigma-8mm,custom,yes,Photoshop
HelmutKoelbach,Fuji-S2Pro,Nikkor-10.5mm,?,?,?
StefanKokemueller,Fuji-S2Pro,Sigma-14mm,Kaidan-QuickPanSpherical,yes,RealvizStitcher-?
HoyleKoontz,Nikon-D70,Sigma-8mm,Manfrotto-303sph,yes,Photoshop
GeorgeKountouris,Canon-1DS,Sigma-?,?,?,PanoTools
ErikKrause,Nikon-?,Zenitar-16mm,none,handheld,Ptgui-?
GerardKuster,Canon-10D,Sigma-8mm,custom,Manfrotto-?,PTmac-?
JuhaniLaiho,Fuji-S2Pro,Nikkor-10.5mm,Peaceriver-3Sixty,?,PTmac-?
AlanLegg,Canon-20D,?,Manfrotto-303sph,?,RealvizStitcher-?
ClaudioLanconelli,Nikon-D70,Nikkor-10.5mm,Panosaurus,?,Hugin
TomLassiter,Fuji-S2Pro,Nikkor-10.5mm,Manfrotto-303sph,none,PTmac-?
JesseLee,Nikon-CP5000,Nikon-FCE8,?,?,PanoTools
BrooksLeffler,Nikon-CP8700,Nikon-FCE9,Kite,?,PTmac-3
JookLeung,Nikon-D70,Nikkor-10.5mm,?,?,PTmac-3
YuvalLevy,?,?,?,yes,Ptgui-4.1
YischonLiaw
JimLiesenfeld,Canon-D60,Canon-17to40mmL,Kaidan-QuickPanIII,?,PTmac-?
MikeLin,Nikon-D70,Nikkor-10.5mm,?,?,?
JoakimLoeber,Nikon-CP5000,Nikon-FCE8,Manfrotto-QTVR,?,PTmac-?
PacoLorente,Nikon-?,Sigma-15mm,?,?,Ptgui-?
MichaelJLove,Canon-20D,Sigma-8mm,Kaidan-?,yes,RealvizStitcher-?
SimonMaguire,Nikon-D70,Sigma-8mm,?,?,Ptgui-?
AlexMakienko,Nikon-D70,Nikkor-10.5mm,?,?,?
RobertoMancuso,Canon-300D,Canon-16to35mmL,?,Manfrotto-058,QTVRAS
GiorgioMarchetto,Nikon-CP5000,Nikon-FCE8,?,?,?
JeffreyMartin,Canon-300D,Sigma-8mm,Manfrotto-302,Manfrotto-3021,Ptgui-?
IsaacMartinez,Nikon-CP5000,?,Kaidan-Kiwi,?,RealvizStitcher-4
BenMarzeion,Canon-20D,Canon-10to22mm,?,?,?
ChiaraMasieroSgrinzatto,Yashica-FX107,Peleng-8mm,yes,Manfrotto-190,?
MarkusMatern,Minolta-Dynax7D,Sigma-8mm,none,handheld,Ptgui-?
JuergenMatern,Minolta-Dynax7D,Sigma-18mm,?,?,Ptgui-?
PeterMcCready
MichaelMcKelvey,Canon-10D,Sigma-?,Kaidan-?,Manfrotto-?,?
AlfredoMora,Canon-?,?,?,?,QTVRAS
MikeMorper,Canon-20D,Sigma-8mm,Manfrotto-303sph,Manfrotto-?,PTmac-3
ThomasMottl,Canon-D10,??-8mm,Manfrotto-303sph,?,RealvizStitcher-?
KatufumiNagamine,Canon-10D,Sigma-8mm,Manfrotto-300n,Manfrotto-?,PanoTools
StephaneNegri,?,?,?,?,RealvizStitcher-?
LeeNelson,Canon-300D,Canon-18to55mm,Kaidan-Kiwi,yes,QTVRAS
AndrewNemeth,Leica M6TTL,Leica-16mm,custom,Monopod,?
JoachimNickel,Nikon-D70,Nikkor-10.5mm,?,?,Photoshop
AkilaNinomiya,Nikon-CP4500,Nikon-WCE63,Kaidan-QuickPanIV,?,QTVRAS
JakobNorstedtMoberg,Nikon-D70,Sigma-8mm,Panosaurus,Monopod,?
AndrewNovinc,Canon-20D,?,Kaidan-QuickPan?,yes,Photoshop
HansNyberg,Canon-20D,Sigma-8mm,custom,Manfrotto-?,PanoTools
PeterNyfeler,Nikon-D70,Nikkor-10.5mm,Manfrotto-?,yes,?
PeterODonnell,Canon-?,?,Kaidan-?,yes,RealvizStitcher-?
BrianOReilly,Nikon-D70s,Nikkor-10.5mm,360precision,yes,PTmac-?
GaryOBrien,Nikon-D100,Sigma-8mm,Manfrotto-303sph,Manfrotto-?,PTmac-?
MichaelOistad,Nikon-CP995,Nikon-FCE8,custom,Manfrotto-?,Ptgui-?
AlanOscroft,?,?,?,yes,?
RodolphoPajuaba,Nikon-CP4500,Nikon-FCE8,Manfrotto-302,Manfrotto-?,Ptgui-?
GabePalacio,Nikon-D70,??-8mm,Peaceriver-3Sixty,Manfrotto-?,?
OrlandoPalencia,Pentax-istD,Sigma-8mm,Manfrotto-302,Manfrotto-?,PTmac-?
JeanMarcParatte,Nikon-D70,Peleng-8mm,?,?,Ptgui-?
MarkPearson,Canon-20D,Sigma-8mm,none,handheld,?
WillPearson
LauraPearson,Canon-20D,Sigma-8mm,none,handheld,PTmac-?
AlessandroPedrini
StevePendleton,Canon-300D,Canon-17to40mmL,Kaidan-?,Manfrotto-190,PTmac-?
NormanPeters,Panasonic-?,?,none,handheld,Ptgui-?
ClemensPfeiffer,Nikon-CP4500,Nikon-WCE63,Manfrotto-303sph,Manfrotto-?,RealvizStitcher-4
GeoffJPhillips,Canon-G3,?,?,?,QTVRAS
TomPollak,Nikon-D70,Sigma-8mm,?,?,?
PiotrPopik,Canon-350D,Peleng-8mm,?,?,Ptgui-?
TobiasPort,Canon-?,?,?,?,RealvizStitcher-?
