user,camera,lens,panohead,tripod,software
RobertAgnel,Nikon-CP950,Nikon-WCE24,Kaidan-Kiwi,yes,Photoshop
RodrigoAlarconCielock,Nikon-CP4500,Nikon-FCE8,?,?,?
DaveAlbright,Canon-20D,Sigma-8mm,Kaidan-Kiwi,yes,Ptgui-?
PatAlbright,Canon-20D,Sigma-8mm,?,?,Ptgui-?
LoydAlmeida,Canon-10D,Sigma-15mm,Manfrotto-?,yes,?
AndyAlpern,Nikon-D100,Sigma-8mm,Manfrotto-?,Manfrotto-?,?
MarkusAltendorff,Minolta-Dimage7,?,Manfrotto-303sph,?,RealvizStitcher-4
MilkoAmorth,Canon-1DS,Sigma-8mm,none,Monopod,PanoTools
JayMartinAnderson,Nikon-CP4500,?,Kaidan-?,yes,VRWorx
PatrizioSilviAntonini,Nikon-D100,Sigma-8mm,none,handheld,Ptgui-?
PatricioArmijo,Nikon-?,?,none,Manfrotto-Monopod,PanoTools
LarsArned,Nikon-D70,Nikkor-10.5mm,?,?,?
BryantArnett,Minolta-DimageZ1,Minolta-WE,?,yes,Ptgui-?
CBArunKumar,Canon-20D,Canon-10to22mm,Kaidan-?,yes,?
AYRTON,Nikon-CP4500,Nikon-FCE9,none,handheld,QTVRAS
GDonaldBain,Olympus-E1,Olympus-14to54mm,Kaidan-QuickPanIII,Velbon-?,QTVRAS
ArtBaltrotsky,Canon-300D,?,Kaidan-?,?,RealvizStitcher-?
MaryannikBarray,Nikon-D100,Nikkor-10.5mm,?,?,PTmac-?
BelaBatizi
LuisBenitez,Nikon-D70,?,Agnos-QuicklyQTCubic,Manfrotto-3021b,QTVRAS
LandisBennett,Nikon-D100,Nikkor-10.5mm,Kaidan-QuickPanIII,?,RealvizStitcher-?
BriarBentley,?,Sigma-8mm,?,yes,?
FlorianBertzbach,Nikon-D100,Sigma-8mm,custom,Manfrotto-?,Ptgui-?
RobertBilsland,Nikon-CP990,Nikon-FCE8,custom,?,Ptgui-?
DonnaBlochwitz
IreneBlueth
AndreiBodrov,Canon-300D,Sigma-8mm,Manfrotto-303sph,?,PanoTools
RobertoBolzan,?,?,none,handheld,PTmac-?
BirgerBorgwardt,Nikon-?,Sigma-8mm,none,handheld,PTmac-?
NormaBoylan,Kodak-DX3900,builtin,none,yes,VRWorx
PeterBraatz,Nikon-D70,Sigma-8mm,?,?,PTmac-?
ChristianBraut,Nikon-CP8700,Nikon-FCE9,Manfrotto-303sph,yes,PTmac-?
RayBroussard,Canon-D10,Sigma-12to24mm,Peaceriver-3Sixty,Manfrotto-?,?
WillBrown,Canon-1DS,Sigma-12to24mm,?,?,?
WilBrugman,Canon-G5,Nikon-FCE9,?,?,?
BostjanBurger,Nikon-D2x,Nikkor-10.5mm,Manfrotto-QTVR,yes,?
BetkaBurger,Nikon-CP5000,?,?,?,?
FioreCappone,?,?,?,?,Photoshop
LarryCassis,Nikon-CP990,?,Kaidan-Kiwi,?,VRWorx
MaurizioCastelli,Nikon-CP4500,Nikon-FCE8,Agnos-MRotator?,?,Panoweaver
PatrickCheatham,Fuji-S2,?,?,Manfrotto-?,?
JedClark,Nikon-D70,Nikkor-10.5mm,360precision,yes,PTmac-?
UriCogan,Nikon-D70,Sigma-8mm,Panosaurus,yes,PTmac-?
PierreConverset,Nikon-D70,Sigma-8mm,none,handheld,Ptgui-?
DondiDaugherty,Nikon-CP5000,Nikon-FCE8,?,?,?
WayneDegner,Nikon-D70,Nikkor-10.5mm,Manfrotto-303sph,DynaTran-?,?
GiancarloDeLeo,Nikon-D70,Nikkor-10.5mm,?,?,?
GarbassoDeLeo,Nikon-D70,Nikkor-18to70mm,Manfrotto-?,Manfrotto-?,?
ChuckDenny,Sony-?,?,?,?,?
ScottDoenges,Sony-CybershotF717,Raynox-FE180,Kaidan-QuickPanSpherical,Hakuba-504MX,RealvizStitcher-4
JohnDotta,Canon-G1,?,?,?,QTVRAS
FrantisekDurec,Nikon-CP4300,Nikon-FCE8,custom,yes,Ptgui-?
JamesEdge,Kodak-DC290,?,?,?,QTVRAS
CarlvonEinem,Voigtlaender-BessaL,Heliar-15mm,none,Monopod,PTmac-?
JohnFellers,Nikon-D100,Sigma-8mm,custom,Monopod,Ptgui-?
MarkFink,Canon-10D,Sigma-8mm,custom,?,?
EdwardFink,Nikon-D70,Sigma-8mm,Kaidan-QuickPanIII,?,Ptgui-?
RobertFisher,Fuji-S2Pro,Sigma-8mm,custom,yes,PTmac-?
FrancisFougere,Fuji-S2,?,Kaidan-Kiwi,yes,RealvizStitcher-?
ZsoltFrei,Canon-300D,Canon-17to40mmL,custom,Manfrotto-055,?
AndrasFrenyo,Fuji-S2Pro,Nikkor-8mm,?,?,?
DaniFuchs,Canon-G5,Soligor-WE,custom,yes,Ptgui-?
YasuhiroFujimoto,Fuji-S3Pro,Nikkor-10.5mm,Manfrotto-303sph,MDeVe-aluminumvideo,PTmac-?
TomFulmer,Nikon-D70,Nikkor-10.5mm,none,handheld,PTmac-?
ToniGarbasso,Fuji-S2,Nikkor-8mm,none,handheld,PTmac-?
AntonioVictorGarciaSerrano,Canon-10D,Sigma-8mm,Manfrotto-?,Manfrotto-?,Ptgui-?
NathanGasser,Canon-300D,Sigma-8mm,none,handheld,?
CarolingGeary,Canon-?,?,?,yes,Photoshop
ElizabethGentile,Nikon-D70,Nikkor-10.5mm,?,yes,RealvizStitcher-?
KazGeorge
TomasGerber,?,?,?,?,Photoshop
DavidGerhard,Nikon-CP4500,Nikon-FCE8,custom,yes,PTmac-?
RebeccaGhanadan
DavidGibson,Canon-300D,Sigma-8mm,Kaidan-Kiwi,yes,?
LorenzoGiotti,Nikon-D70,Sigma-8mm,none,Monopod,PTmac-?
ChristopherGlick,Fuji-?,?,Kaidan-Kiwi,yes,VRWorx
DavidGoldwasser,Canon-20D,Canon-10to22mm,LensRing-?,Monopod,?
FelipeGonzalez,Sony-CybershotDSC85,?,custom,yes,?
NickGordon,Nikon-D70,Nikkor-10.5mm,none,Monopod,?
DarrellGoss,Canon-10D,Sigma-8mm,Kaidan-QuickPan?,?,RealvizStitcher-?
RalphGreene,Nikon-D100,Sigma-8mm,Kaidan-?,yes,Ptgui-?
BrianGreenstone,Canon-PowershotPro1,Raynox-FE180,Manfrotto-303sph,yes,PTmac-?
SachaGriffin,Canon-20D,Sigma-8mm,?,?,?
SamirAhmed,Canon-10D,Sigma-8mm,?,Manfrotto-?,?
SergeGutwirth,Nikon-D1x,Nikkor-10.5mm,Manfrotto-303sph,?,RealvizStitcher-3.1
SvenHafner,Canon-1DS,Sigma-8mm,Manfrotto-?,Manfrotto-?,Panoweaver
HansHagen,Canon-10D,Sigma-8mm,none,handheld,?
GabiHaindl,Nikon-CP5000,Nikon-FCE8,Manfrotto-QTVR,?,PTmac-?
JackHardy,Canon-20D,Sigma-8mm,?,?,?
JerryHarris,Minolta-Dimage7Hi,?,?,?,CanonPhotoStitch
TimHatch,Nikon-CP995,Nikon-FCE8,Kaidan-Kiwi,?,Ptgui-?
KWayneHeil,Nikon-D70,Nikkor-8mm,none,handheld,PTmac-?
GrantHermanson,Nikon-CP8700,?,Kaidan-QuickPanIII,?,?
AldoHoeben,Fuji-S2Pro,Sigma-8mm,none,Monopod-Philopod,Ptgui-?
DonHofstee,Nikon-D70,Sigma-8mm,none,handheld,PanoTools
GuidoHomberger,Nikon-CP4500,Nikon-FCE8,?,?,?
MarkHouston,Nikon-D70,Nikkor-10.5mm,?,?,RealvizStitcher-?
EdwardHuff,Nikon-D70,Sigma-8mm,?,?,?
MichaelHuisgen
AndreyIlyin,Nikon-D70,Nikkor-10.5mm,?,?,Ptgui-4.1
SachioIzumi,Nikon-D100,Sigma-8mm,Kaidan-?,Manfrotto-?,Photoshop
JacquesJoffre,Canon-?,Sigma-8mm,none,Monopod,Ptgui-4.1
TreveJohnson,Seitz-Roundshot,?,?,?,?
WillyKaemena,Nikon-D70,Nikkor-8mm,none,Monopod,PTmac-?
KatKalamaras,Nikon-D100,Nikkor-10.5mm,Kaidan-QuickPanIII,?,RealvizStitcher-?
DeanKaramehmedovic,Nikon-D70,Nikkor-10.5mm,?,yes,?
