user,camera,lens,panohead,tripod,software
RussAddie,?,CoastalOptical-4.88mm,?,Manfredo-?,IPIX
ChasAdlard,Nikon-D80,?,?,?,?
RodrigoAlarconCielock,Canon-50D,Tokina-10to17mm,NodalNinja-5,Monopod,?
DaveAlbright,Canon-500D,Sigma-8mm,?,yes,Ptgui-?
PatAlbright,Canon-500D,Sigma-8mm,?,yes,Ptgui-?
MarkusAltendorff,Canon-20D,Sigma-18mm,Manfrotto-303sph,Manfrotto-?,Ptgui-?
PatricioArmijo,Canon-50D,Sigma-8mm,NodalNinja-3,yes,?
GDonaldBain,Olympus-E3,Zuiko-8mm,ReallyRightStuff,Velbon-?,PtguiPro-8.2
MichaelBajko,Nikon-D90,?,none,handheld,PtguiPro-8.2
ViktorBalogh,Canon-300D,Tokina-12to24mm,Manfrotto-?,Manfrotto-?,?
PeterBarnes,Nikon-D40x,Nikkor-10.5mm,?,?,Ptgui-?
LuisBenitez,Nikon-D70,?,Panosaurus,Monopod,RealvizStitcher-?
LucianoBergesch,Canon-400D,Sigma-8mm,NodalNinja-3,?,Photoshop
JeanBertheleme,?,?,custom,yes,?
RobertBilsland,Nikon-D300,Nikkor-10.5mm,NodalNinja-5,Manfrotto-055,PtguiPro-8.2
AndreiBodrov,Canon-5D,Sigma-8mm,Manfrotto-304sph,Manfrotto-?,PanoTools
ChristianBraut,Nikon-D300,Nikkor-10.5mm,NodalNinja-3,yes,Ptgui-?
WilBrugman,Pentax-istDL,Raynox-DCR185,?,?,?
BostjanBurger,Nikon-D200,Sigma-8mm,?,Velbon-Sherpa,?
LarryCassis,Nikon-D70,Nikkor-10.5mm,NodalNinja-?,?,Ptgui-?
JobyCatto,Canon-50D,Sigma-?,NodalNinja-3,Manfrotto-190,Ptgui-?
RichardChesher,Canon-5D,Canon-15mm,NodalNinja-3,yes,Autopano
CibulaVincent,Canon-50D,Peleng-8mm,?,Manfrotto-190,?
FrancoisCochin,Nikon-D40,Canon-18to55mm,NodalNinja-5,Gitzo-?,PtguiPro-?
UriCogan,Nikon-D700,Nikkor-10.5mm,NodalNinja-3,?,Ptgui-?
JimCole,Nikon-D300,Nikkor-10.5mm,NodalNinja-5,?,Ptgui-?
RichardCrowest,Canon-50D,Sigma-?,NodalNinja-5,Manfrotto-?,Autopano
WilliamMDelabarre,Nikon-D50,Nikkor-10.5mm,?,?,?
AriedeRuiter,Nikon-D200,Nikkor-10.5mm,NodalNinja-3,?,PtguiPro-8.2
JohnDobbins,Nikon-D90,Nikkor-10.5mm,360precision,yes,PtguiPro-8
RichardCDrew,Canon-40D,Sigma-8mm,Agnos-MRotator?,Manfrotto-?,Ptgui-?
JuergenEidt,Nikon-D700,Sigma-8mm,none,handheld,?
CarlvonEinem,Nikon-D300,Nikkor-8mm,none,handheld,Hugin
caryewing,Nikon-D60,Nikkor-10.5mm,?,yes,Photoshop
ColinEwington,Canon-50D,Sigma-8mm,?,yes,Ptgui-?
EdwardFink,Nikon-D70s,Sigma-8mm,NodalNinja-3,?,Ptgui-?
MarkFink,Canon-400D,Sigma-8mm,PinnacleVR,yes,Ptgui-?
FrancisFougere,Canon-5D,Canon-16to35mmL,Manfrotto-303sph,yes,RealvizStitcher-4
DevlinFrancis,Nikon-D200,Nikkor-10.5mm,360precision,?,PtguiPro-?
DaniFuchs,Canon-40D,Tokina-10to17mm,NodalNinja-3,?,PtguiPro-?
ToniGarbasso,Nikon-D700,?,?,?,Ptgui-?
AntonioVictorGarciaSerrano,Canon-5D,Canon-15mm,360precision,Monopod,Ptgui-?
CarolingGeary,Pentax-?,?,?,?,QTVRAS
JamesGentles,Nikon-CP8400,Nikon-FCE9,Kite,?,Ptgui-?
ChristopherGlick,Canon-50D,Peleng-8mm,NodalNinja-3,Velbon-?,Ptgui-?
RobertHagqvist,Canon-?,Nikon-FCE9,LensRing-BoPhoto,?,PtguiPro-8.2
GabiHaindl,Nikon-D300,Nikkor-10.5mm,Novoflex,?,Ptgui-?
AlainHamblenne,Nikon-D300,Nikkor-10.5mm,none,Monopod,RealvizStitcher-5.6
MahmoodHamidi,Nikon-D700,Nikkor-10.5mm,360precision,yes,Hugin
GeorgeHartshorn,Nikon-D700,?,NodalNinja-5,Manfrotto-055,Ptgui-?
KWayneHeil,Nikon-D300,Sigma-8mm3.5,none,handheld,Ptgui-?
RogerHein,Nikon-D700,Sigma-15mm,Acratech,Benro-227CF,Photoshop
BruceHemming,Canon-5D,Nikkor-10.5mm,none,Manfrotto-Monopod,Ptgui-?
ValTHoang,Canon-5D,Nikkor-10.5mm,?,?,?
DonHofstee,Nikon-D90,Sigma-8mm,?,?,?
MartinHrdlicka,?,?,?,?,?
MarcHuff,Canon-400D,Sigma-8mm,NodalNinja-5,?,Ptgui-?
EdwardHuff,Nikon-D70s,Nikkor-10.5mm,360precision,?,?
MichaelHundrieser,Canon-5D,Tokina-12to24mm,none,Monopod,?
AndreyIlyin,Nikon-D300,Sigma-8mm,NodalNinja-5,Manfrotto-055,Ptgui-?
WillyKaemena,Nikon-D300,Sigma-8mm,custom,Velbon-?,Ptgui-?
DeanKaramehmedovic,Canon-5D,Canon-15mm,360precision,yes,?
KatoKazuhiro,Olympus-E410,Raynox-DCR185,?,?,?
JanWillemKattenbeld,Nikon-D300,Nikkor-10.5mm,?,?,?
DieterKik,Nikon-D300,Sigma-8mm,Manfrotto-300n,Manfrotto-?,PtguiPro-?
RikuichiKishimoto,Canon-5D,??-8mm,none,handheld,?
ErikKrause,Canon-5D,Zenitar-16mm,?,?,PtguiPro-?
MarkusKrueger,Canon-5D,Sigma-15mm,?,?,?
JuhaniLaiho,Nikon-D40x,Nikkor-10.5mm,Peaceriver-3Sixty,Gitzo-G1228,PTmac-?
JeanGuyLathuiliere,Canon-5D,Nikkor-10.5mm,Panosaurus,Manfrotto-?,RealvizStitcher-5.5
RusuLaurentiu,Canon-400D,Tokina-10to17mm,?,?,Hugin
JookLeung,Canon-5D,Canon-10to22mm,?,?,?
YischonLiaw
JannLipka
JaumeLlorens,Canon-5D,Nikkor-10.5mm,NodalNinja-5,Monopod,?
JoakimLoeber,Nikon-D300,Nikkor-10.5mm,Novoflex,?,Ptgui-?
SimonMaguire,Canon-5D,Sigma-8mm3.5,?,?,?
RobertoMancuso,Nikon-D70s,Nikkor-10.5mm,?,yes,Ptgui-?
JPatMarse,Canon-50D,Sigma-?,NodalNinja-5,?,Ptgui-?
KeithMartin,Nikon-?,Nikkor-10.5mm-Shaved,?,?,?
IsaacMartinez
MarkusMatern,Sony-DSLRA700,Sigma-8mm,custom,Monopod,PtguiPro-?
JuergenMatern,Sony-?,Sigma-?,custom,?,PtguiPro-?
LennartMollerstrom,Canon-20D,Pentax-DA10to17mm,NodalNinja-3,Benro-?,Hugin
MarcinMroz,Nikon-D90,Sigma-8mm,?,Manfrotto-?,Photoshop
NakaokaHideto,Canon-5D,Nikkor-10.5mm,?,?,?
PeterODonnell,Canon-1DSmark3,Canon-15mm,NodalNinja-?,?,Ptgui-?
BrianOReilly,Nikon-D200,Nikkor-10.5mm,?,?,Ptgui-?
PaulPalmer,Nikon-D80,Nikkor-10.5mm,NodalNinja-3,Manfrotto-055,Ptgui-?
HubertPawlowski,Canon-50D,Sigma-8mm,NodalNinja-3,Manfrotto-190,Ptgui-?
LauraPearson,Canon-40D,?,?,Manfrotto-?,?
EvaPitt,Canon-50D,Sigma-10to20mm,NodalNinja-3,?,Ptgui-?
PiotrPopik,Canon-20D,Peleng-8mm,?,?,Ptgui-4.1
VladimirPopov,Pentax-MZ5,Zenitar-16mm,?,Vanguard-?,PanoTools
RamiroPosada,Nikon-D90,Peleng-8mm,none,handheld,Ptgui-?
BrunoPostle,Nikon-D100,Peleng-8mm,none,handheld,Hugin
TommyPoung,Nikon-D300,?,?,?,?
CarstenRees,Canon-5D,Sigma-12to24mm,Manfrotto-303sph,?,RealvizStitcher-?
InakiRezola,Nikon-D300,Nikkor-10.5mm,NodalNinja-5,Manfrotto-055,Ptgui-?
RolfRis,Nikon-D300,Nikkor-10.5mm,NodalNinja-3,Monopod,PtguiPro-?
GeorgeRow,Canon-5D,Zenitar-16mm,Kaidan-Kiwi,Manfrotto-190,Hugin
KerryRudy,Nikon-D300,Nikkor-10.5mm,?,?,PtguiPro-?
DanRuettimann,Nikon-D2x,Nikkor-10.5mm,none,handheld,Hugin
GerardoSanchez,Nikon-D90,Sigma-8mm,NodalNinja-?,yes,Ptgui-?
AndySavage,Nikon-D70,Nikkor-10.5mm,NodalNinja-?,yes,Ptgui-?
DavidSchaubert,Canon-400D,Peleng-8mm,NodalNinja-3,Velbon-?,PtguiPro-8.2
ReinhardSchmolze
JohnESchwarzell,Nikon-D200,Sigma-8mm,Kaidan-QuickPanIV,Manfrotto-?,?
MiguelSepulveda,Olympus-E1,Zuiko-8mm,Manfrotto-303sph,yes,Ptgui-?
