user,camera,lens,panohead,tripod,software
RussAddie,Canon-40D,?,?,yes,IPIX
GulmayramAdiyeva,Canon-?,Raynox-?,none,handheld,Ptgui-?
ChasAdlard,Nikon-D80,?,?,?,?
RobertAgnel,Nikon-CP950,Nikon-WCE24,Kaidan-Kiwi,yes,QTVRAS
Wo,Nikon-D300,Nikkor-10.5mm,custom,yes,?
UgurAkbulut,Canon-20D,Sigma-8mm3.5,Manfrotto-303sph,Manfrotto-190,?
RodrigoAlarconCielock,Canon-40D,?,none,Manfrotto-Monopod,Photoshop
DaveAlbright,Canon-350D,Sigma-8mm3.5,RingTS8,Monopod,PtguiPro-8.02
PatAlbright,Canon-5D,Sigma-8mm3.5,RingTS8,Monopod,PtguiPro-8.02
MarkusAltendorff,Canon-20D,?,Manfrotto-303sph,Manfrotto-?,?
MilkoAmorth
EricHAnderson,Canon-5D,?,Manfrotto-303sph,yes,?
PatricioArmijo,Canon-350D,?,NodalNinja-3,Manfrotto-?,?
BryantArnett,Minolta-DimageZ1,Minolta-WE,custom,yes,Ptgui-7.2
AYRTON,Nikon-D300,Sigma-8mm,none,Monopod,PtguiPro-?
NurcanAzaz,Canon-A640,Nikon-FCE9,LensRing-BoPhoto,?,Ptgui-?
BillBailey,Nikon-D70,Nikkor-10.5mm,NodalNinja-5,Manfrotto-?,?
GDonaldBain,Olympus-E3,Zuiko-8mm,NodalNinja-?,Velbon-?,PtguiPro-?
MichaelBajko,Nikon-D70,Nikkor-10.5mm,?,Slik-?,PtguiPro-?
ViktorBalogh,Canon-300D,Tokina-12to24mm,?,Manfrotto-?,?
BanfalvyZoltan,Canon-350D,Peleng-8mm,custom,yes,Ptgui-?
PeterBarnes,Nikon-D40x,Nikkor-10.5mm,NodalNinja-3,Manfrotto-?,Ptgui-?
PeterBaumber,Canon-350D,Sigma-8mm3.5,Manfrotto-303sph,yes,Photoshop
DaveBedigian
LuisBenitez,Nikon-D70,Nikkor-10.5mm,NodalNinja-5,?,RealvizStitcher-5.5
LandisBennett,Panasonic-?,?,none,handheld,Ptgui-?
BriarBentley,Canon-5D,Canon-15mm,Manfrotto-?,Manfrotto-?,RealvizStitcher-5.0
IngemarBergmark,Canon-5D,Nikkor-10.5mm,none,Monopod,PtguiPro-?
JeanBertheleme,?,?,custom,yes,?
EdwardBigelow,Nikon-D40x,?,?,yes,Photoshop
RobertBilsland,Nikon-D300,Nikkor-10.5mm,NodalNinja-5,Manfrotto-055,Ptgui-?
JohnBlake,Nikon-D3,Nikkor-10.5mm,custom,yes,Ptgui-?
SergioJBlandon,Olympus-E300,?,Kaidan-Kiwi,?,Photoshop
AndreiBodrov,Canon-300D,Sigma-8mm,Manfrotto-304sph,Manfrotto-?,Ptgui-?
MortenBoe
PeterBoel,Canon-?,Sigma-8mm,Seitz-?,Manfrotto-?,?
RodrickBond,Canon-5D,Nikkor-10.5mm,360precision,?,Ptgui-?
SandorBoros
NormaBoylan,Canon-400D,Zenitar-16mm,Panosaurus,yes,Hugin
ChristianBraut,Nikon-D300,Nikkor-10.5mm,360precision,yes,Autopano
MichelBriere,Nikon-D300,Nikkor-10.5mm,none,Monopod,Ptgui-?
BobBright,Canon-350D,Tokina-10to17mm,NodalNinja-3,Benro-?,?
WillBrown,Canon-5D,Canon-15mm,?,?,Ptgui-?
WilBrugman,Pentax-istDL,Raynox-DCR185,none,Monopod,?
RommelBundalian
BostjanBurger,Nikon-D200,Sigma-8mm,Manfrotto-303sph,?,?
VeronikaBurger,Nikon-?,Sigma-8mm,?,?,?
BetkaBurger,Nikon-?,?,?,?,?
Neza,Nikon-?,Sigma-8mm,?,?,?
EtienneBusson,Pentax-K10D,?,Panosaurus,?,RealvizStitcher-?
NicolasCalluaud,Canon-5D,Sigma-8mm,Manfrotto-?,yes,?
