user,camera,lens,panohead,tripod,software
RussAddie,Canon-10D,CoastalOptical-4.88mm,?,?,IPIX
RobertAgnel,Nikon-CP950,Nikon-WCE24,Kaidan-Kiwi,yes,QTVRAS
RodrigoAlarconCielock,Canon-350D,Tokina-10to17mm,?,yes,PtguiPro-7.4
DaveAlbright,Canon-5D,Sigma-8mm3.5,Agnos-MRotatorUT,yes,Ptgui-7.4
MarkusAltendorff,Canon-20D,Sigma-8mm,custom,?,RealvizStitcher-5.5
MilkoAmorth,Canon-1DS,Sigma-15mm,?,?,?
EricHAnderson,Canon-5D,Peleng-8mm,NodalNinja-?,Monopod,?
PatricioArmijo,Canon-350D,Sigma-8mm,none,Monopod,?
LarsArned,Nikon-D70,Nikkor-10.5mm,NodalNinja-?,?,?
BryantArnett,Minolta-DimageZ1,Minolta-WE,custom,yes,Ptgui-?
AYRTON,Nikon-D80,Sigma-8mm,none,handheld,PtguiPro-?
NurcanAzaz,Canon-A640,Nikon-FCE9,LensRing-BoPhoto,?,Ptgui-?
GDonaldBain,Olympus-E3,Zuiko-8mm,NodalNinja-?,Velbon-?,PtguiPro-7.2
MichaelBajko,Nikon-D70,Nikkor-10.5mm,Panosaurus,Slik-?,PtguiPro-?
JoelBaldwin,Canon-300D,Peleng-8mm,Panosaurus,yes,PtguiPro-?
ViktorBalogh,Canon-300D,Tokina-12to24mm,Manfrotto-303sph,Manfrotto-055,?
PeterBarnes,Nikon-D40x,Nikkor-10.5mm,NodalNinja-3,yes,?
PeterBaumber,Canon-350D,Sigma-8mm3.5,Manfrotto-303sph,yes,Photoshop
LuciaBazan,Nikon-D50,?,?,?,?
MargaretEBazura,Canon-D30,Canon-15mm,none,handheld,?
KatBennett,Nikon-D200,Nikkor-10.5mm,Kaidan-QuickPanIII,?,Ptgui-?
LandisBennett,Nikon-D200,Nikkor-10.5mm,NodalNinja-3,?,Ptgui-?
BriarBentley,Canon-5D,Canon-15mm,Manfrotto-?,yes,RealvizStitcher-?
IngemarBergmark,Canon-5D,Nikkor-10.5mm,Rotospan,Manfrotto-055,PtguiPro-7.5
ClaudiaBetschart,Nikon-FM3,Sigma-8mm,NodalNinja-SPH1,yes,Ptgui-?
